,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,sentiment_score
6400,610784262522023294,2015-06-27,within a few hours,93%,69%,f,Kilmacud,3,4,"['email', 'phone']",t,t,"Blackrock, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.29074765601488,-6.20736832840115,Entire condo,Entire home/apt,4,1 bath,2.0,2.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Carbon monoxide alarm"", ""Kitchen"", ""Gas stove"", ""Cooking basics"", ""Microwave"", ""Clothing storage: wardrobe"", ""Central heating"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""Single level home"", ""Dishwasher"", ""Free street parking"", ""Shampoo"", ""Free driveway parking on premises \u2013 1 space"", ""Luggage dropoff allowed"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Room-darkening shades"", ""Wine glasses"", ""Fast wifi \u2013 64 Mbps""]",$152.00,5,21,1,5,21,21,5.0,21.0,t,10,16,16,16,2022-09-11,4,4,0,2022-05-17,2022-07-30,4.25,4.75,4.5,5.0,5.0,5.0,4.0,f,3,3,0,0,0.9
6401,610880240385382171,2017-05-30,within a day,100%,78%,f,Ballinteer,1,1,"['email', 'phone']",t,f,"Dublin 16, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.27402,-6.25468,Entire home,Entire home/apt,6,2.5 baths,4.0,4.0,"[""Induction stove"", ""Hot water kettle"", ""Fire extinguisher"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Board games"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Private fenced garden or backyard"", ""Nespresso machine"", ""Central heating"", ""Clothing storage: closet and dresser"", ""Free dryer"", ""Barbecue utensils"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""Free washer \u2013 In building"", ""Shower gel"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Free driveway parking on premises \u2013 2 spaces"", ""Dishwasher"", ""Freezer"", ""Extra pillows and blankets"", ""40\"" HDTV with premium cable, standard cable, Apple TV, Amazon Prime Video, Netflix"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Bluetooth Speakers Bluetooth sound system"", ""AEG Grill and Oven stainless steel oven"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""BBQ grill"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Lockbox"", ""Wifi \u2013 29 Mbps"", ""Private patio or balcony"", ""Smoke alarm"", ""Outdoor dining area"", ""Wine glasses"", ""Liebherr full size fridge refrigerator"", ""Portable fans"", ""Game console: Nintendo Wii and Xbox One""]",$500.00,3,9,3,3,9,9,3.0,9.0,t,3,13,13,82,2022-09-12,5,5,1,2022-06-19,2022-08-21,5.0,5.0,5.0,5.0,5.0,4.8,5.0,f,1,1,0,0,0.5236285714285713
6406,612128021085256805,2022-04-22,within an hour,100%,77%,f,Churchtown Lower,1,2,"['email', 'phone']",f,t,"Dublin 14, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.2928,-6.25085,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Fast wifi \u2013 249 Mbps"", ""Hot water kettle"", ""Oven"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Clothing storage: wardrobe"", ""Central heating"", ""Mini fridge"", ""Dishes and silverware"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hot water"", ""Safe"", ""Electric stove"", ""Freezer"", ""Bathtub"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Toaster"", ""Free washer \u2013 In unit"", ""Smoke alarm""]",$230.00,3,1125,3,3,1125,1125,3.0,1125.0,t,0,2,32,212,2022-09-12,1,1,0,2022-07-06,2022-07-06,4.0,5.0,3.0,5.0,4.0,5.0,5.0,t,1,1,0,0,0.15978246753246755
6418,615205819543838558,2018-06-07,within an hour,100%,66%,f,North City,1,1,['phone'],t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.34847,-6.26059,Entire condo,Entire home/apt,3,1 bath,1.0,3.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Board games"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""Nespresso machine"", ""Clothing storage: closet"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Shower gel"", ""Safe"", ""Paid street parking off premises"", ""Hair dryer"", ""Iron"", ""Freezer"", ""Electric stove"", ""Bathtub"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Shared fenced garden or backyard"", ""Waterfront"", ""Wine glasses"", ""Extra pillows and blankets""]",$129.00,3,14,3,3,14,14,3.0,14.0,t,0,0,0,0,2022-09-12,17,17,5,2022-06-15,2022-09-08,4.76,4.88,4.76,5.0,5.0,5.0,4.76,t,1,1,0,0,0.40224445528016955
6424,615820845514350572,2017-12-12,within an hour,100%,98%,f,Monkstown,38,80,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.26621,-6.20769,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Dedicated workspace"", ""Hot water"", ""TV"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove""]",$196.00,42,90,10,42,90,90,41.1,90.0,t,0,0,0,274,2022-09-12,1,1,0,2022-05-22,2022-05-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,38,38,0,0,0.5
6427,616489783607342296,2017-12-12,within an hour,100%,98%,f,Monkstown,38,80,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.26597,-6.20755,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Dedicated workspace"", ""Hot water"", ""TV"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Bathtub"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove""]",$221.00,28,90,42,42,90,90,42.0,90.0,t,0,18,48,323,2022-09-11,1,1,0,2022-06-20,2022-06-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,38,38,0,0,0.0
6435,617488283845300642,2016-04-23,within a few hours,100%,75%,f,Balgaddy,1,1,"['email', 'phone', 'work_email']",t,t,"Lucan, County Dublin, Ireland",South Dublin,53.34155,-6.41689,Private room in condo,Private room,1,1 shared bath,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Security cameras on property"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Radiant heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Safe"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Bathtub"", ""Shampoo"", ""Luggage dropoff allowed"", ""Trash compactor"", ""Essentials"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades""]",$68.00,1,365,1,1,365,365,1.0,365.0,t,2,2,2,267,2022-09-12,7,7,2,2022-05-08,2022-09-11,4.57,4.57,4.57,4.71,4.86,4.43,4.71,f,1,0,1,0,0.3422862031285944
6439,618617846227324234,2015-07-05,within an hour,100%,100%,t,North City,3,3,"['email', 'phone', 'work_email']",t,t,"Dublin 1, County Dublin, Ireland",Dublin City,53.3462,-6.26638,Private room in condo,Private room,2,1 shared bath,1.0,1.0,"[""Hot water kettle"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""Nespresso machine"", ""Mini fridge"", ""Heating"", ""Dishes and silverware"", ""Elevator"", ""Drying rack for clothing"", ""Backyard"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Body soap"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",$143.00,3,365,1,3,1125,1125,3.0,1125.0,t,11,28,38,59,2022-09-12,21,21,4,2022-06-04,2022-09-09,4.9,4.86,4.9,4.71,5.0,4.9,4.76,f,3,0,3,0,0.47576169663669665
6443,618934661264340274,2022-04-19,within an hour,100%,100%,f,Doddsborough,1,1,"['email', 'phone']",f,t,"Lucan, County Dublin, Ireland",South Dublin,53.34812,-6.46779,Entire condo,Entire home/apt,3,1.5 baths,1.0,2.0,"[""Oven"", ""Hot water kettle"", ""Dining table"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""Free driveway parking on premises"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Single level home"", ""Freezer"", ""Luggage dropoff allowed"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""HDTV with Chromecast"", ""Bed linens"", ""Wifi"", ""Portable heater"", ""Smoke alarm""]",$120.00,1,21,1,1,1125,1125,1.0,1125.0,t,17,44,74,340,2022-09-12,39,39,7,2022-05-08,2022-09-08,4.59,4.82,4.49,4.87,4.87,4.56,4.41,t,1,1,0,0,0.39460239456723833
6444,619207694610371403,2017-04-01,within an hour,100%,89%,f,Invalides - Ecole Militaire,87,143,"['email', 'phone', 'work_email']",t,t,"Dublin 4, County Dublin, Ireland",Dublin City,53.33379,-6.22489,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Security cameras on property"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Kitchen"", ""Microwave"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib - available upon request"", ""Clothing storage: closet"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""High chair - available upon request"", ""Hair dryer"", ""Iron"", ""Electric stove"", ""Bathtub"", ""Cable TV"", ""Crib - available upon request"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Shared garden or backyard"", ""Bed linens"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Paid parking off premises""]",$195.00,14,1125,14,14,1125,1125,14.0,1125.0,t,0,30,60,150,2022-09-11,1,1,0,2022-07-08,2022-07-08,3.0,3.0,4.0,5.0,5.0,5.0,3.0,f,48,48,0,0,-0.2041666666666667
6446,619357555536462289,2019-12-31,within an hour,100%,98%,f,Saint Catherine's,2,3,"['email', 'phone']",t,t,"Dublin 8, County Dublin, Ireland",Dublin City,53.33751903319134,-6.287841983591945,Private room in condo,Private room,1,1 private bath,1.0,1.0,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Lock on bedroom door"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Smoke alarm"", ""Washer"", ""Kitchen"", ""First aid kit"", ""Dishes and silverware"", ""Dedicated workspace"", ""Outdoor dining area"", ""Hot water"", ""Free parking on premises""]",$71.00,1,365,1,1,365,365,1.0,365.0,t,3,12,12,57,2022-09-12,20,20,4,2022-06-22,2022-08-24,4.6,4.8,4.7,4.7,4.8,4.4,4.6,f,2,1,1,0,0.4214229479670656
6466,623243788949901949,2017-01-24,within a few hours,100%,100%,f,Dún Laoghaire,1,1,['phone'],f,f,"Dublin, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.2826,-6.14627,Entire home,Entire home/apt,4,1 bath,2.0,3.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Outdoor furniture"", ""Dining table"", ""Board games"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Private fenced garden or backyard"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Barbecue utensils"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Essentials"", ""BBQ grill"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Outdoor dining area"", ""Stove""]",$150.00,2,14,2,2,14,14,2.0,14.0,t,0,0,0,0,2022-09-12,1,1,0,2022-07-18,2022-07-18,5.0,4.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.45712962962962966
6473,623817383818907283,2015-03-29,within a few hours,100%,100%,f,Donaghmede,1,1,"['email', 'phone']",t,t,"Dublin 5, County Dublin, Ireland",Dublin City,53.38641,-6.19599,Private room in home,Private room,2,1.5 baths,1.0,1.0,"[""TV"", ""BBQ grill"", ""Lock on bedroom door"", ""Indoor fireplace"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Smoke alarm"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Dedicated workspace"", ""Outdoor dining area"", ""Free parking on premises"", ""Fire pit""]",$130.00,2,7,2,2,7,7,2.0,7.0,t,0,0,0,254,2022-09-12,6,6,0,2022-05-22,2022-06-23,5.0,4.67,4.67,5.0,5.0,4.5,4.5,f,1,0,1,0,0.3728333333333333
6482,625213467659821870,2014-10-29,within a few hours,76%,94%,f,Smithfield,1,1,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.35086,-6.27196,Private room in home,Private room,2,1 shared bath,1.0,1.0,"[""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Host greets you"", ""Microwave"", ""Various shampoo"", ""Heating"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Freezer"", ""Fast wifi \u2013 189 Mbps"", ""Essentials"", ""Refrigerator"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Smoke alarm"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Paid parking on premises""]",$81.00,1,1125,1,1,1125,1125,1.0,1125.0,t,4,15,22,45,2022-09-12,35,35,9,2022-06-02,2022-09-11,4.6,4.4,4.31,4.89,4.89,4.83,4.43,f,1,0,1,0,0.45063248460022653
6487,626120049555122639,2015-06-10,within an hour,100%,75%,f,Kilmacud,1,1,"['email', 'phone']",t,t,"Blackrock, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.28754,-6.21674,Entire home,Entire home/apt,7,2.5 baths,4.0,4.0,"[""Hot water kettle"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Kitchen"", ""Game console: PS4"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Bikes"", ""Private fenced garden or backyard"", ""Nespresso machine"", ""Central heating"", ""Pack \u2019n play/Travel crib - available upon request"", ""Stainless steel oven"", ""Fireplace guards"", ""Dishes and silverware"", ""Barbecue utensils"", ""First aid kit"", ""Baby monitor"", ""Dedicated workspace"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""Clothing storage: dresser and closet"", ""45\"" HDTV with Amazon Prime Video, Netflix"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Sound system"", ""Freezer"", ""Bathtub"", ""Crib - available upon request"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Body soap"", ""BBQ grill"", ""Bed linens"", ""Toaster"", ""Children\u2019s dinnerware"", ""Wifi"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Outdoor dining area"", ""Wine glasses"", ""Baby safety gates"", ""Baby bath"", ""Extra pillows and blankets""]",$350.00,6,365,4,6,1125,1125,6.0,1125.0,t,2,2,5,5,2022-09-12,1,1,1,2022-08-23,2022-08-23,5.0,5.0,5.0,5.0,5.0,4.0,5.0,f,1,1,0,0,0.5074404761904763
6489,626641385036668816,2014-08-16,within a few hours,100%,91%,t,Rush,2,2,"['email', 'phone']",t,t,"Rush, County Dublin, Ireland",Fingal,53.52424,-6.08668,Entire guesthouse,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Oven"", ""Outdoor furniture"", ""Hangers"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Cleaning before checkout"", ""Fire pit"", ""Dishes and silverware"", ""Dedicated workspace"", ""Cleaning products"", ""Hot water"", ""Free washer \u2013 In building"", ""Shower gel"", ""Hair dryer"", ""Electric stove"", ""Bathtub"", ""Shampoo"", ""Beachfront"", ""Free driveway parking on premises \u2013 1 space"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Body soap"", ""Kayak"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Portable heater"", ""Shared fenced garden or backyard"", ""Smoke alarm"", ""Outdoor dining area"", ""Waterfront"", ""Wine glasses"", ""Extra pillows and blankets""]",$100.00,2,14,2,2,14,14,2.0,14.0,t,6,17,42,296,2022-09-12,18,18,2,2022-05-25,2022-08-22,4.83,4.89,4.67,5.0,5.0,5.0,4.89,f,2,2,0,0,0.35898961700064647
6493,626768127998036941,2017-04-01,within an hour,100%,89%,f,Invalides - Ecole Militaire,87,143,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.33935,-6.25617,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove"", ""Paid parking on premises""]",$374.00,3,1125,3,3,1125,1125,3.0,1125.0,t,15,36,66,156,2022-09-12,1,1,0,2022-06-26,2022-06-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,48,48,0,0,0.5720833333333334
6494,626782896986032946,2017-04-01,within an hour,100%,89%,f,Invalides - Ecole Militaire,87,143,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.33961,-6.25673,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,"[""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove"", ""Paid parking on premises""]",$412.00,3,1125,3,3,1125,1125,3.0,1125.0,t,11,35,65,155,2022-09-12,1,1,0,2022-07-31,2022-07-31,3.0,3.0,4.0,4.0,5.0,5.0,3.0,f,48,48,0,0,0.1059720834720835
6495,626797399270732166,2017-04-01,within an hour,100%,89%,f,Invalides - Ecole Militaire,87,143,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.34143,-6.25627,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,"[""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove"", ""Paid parking on premises""]",$445.00,3,1125,3,3,1125,1125,3.0,1125.0,t,12,35,65,155,2022-09-12,1,1,0,2022-08-04,2022-08-04,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,48,48,0,0,0.23779761904761904
6496,626804768334643061,2017-04-01,within an hour,100%,89%,f,Invalides - Ecole Militaire,87,143,"['email', 'phone', 'work_email']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.33945,-6.25646,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,"[""Fire extinguisher"", ""Hangers"", ""Security cameras on property"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove"", ""Paid parking on premises""]",$445.00,3,1125,3,3,1125,1125,3.0,1125.0,t,10,33,63,150,2022-09-12,1,1,1,2022-09-10,2022-09-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,48,48,0,0,0.6666666666666666
6505,627607493653004766,2016-02-22,within a few hours,100%,53%,t,North City Central/O'Connell Street,5,5,"['email', 'phone', 'work_email']",t,t,"Dublin 8, County Dublin, Ireland",Dublin City,53.34345,-6.26858,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,"[""Hot water kettle"", ""Fire extinguisher"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Table corner guards"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Standalone high chair - available upon request"", ""Microwave"", ""Central heating"", ""Pack \u2019n play/Travel crib - available upon request"", ""Window guards"", ""Stainless steel oven"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Bathtub"", ""Shampoo"", ""50\"" HDTV with Amazon Prime Video, Apple TV, Netflix, premium cable"", ""Crib - available upon request"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Outlet covers"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Outdoor dining area"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Clothing storage: closet, dresser, wardrobe, and walk-in closet""]",$123.00,56,1125,56,56,1125,1125,56.0,1125.0,t,9,9,9,272,2022-09-12,2,2,1,2022-06-05,2022-08-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,5,5,0,0,0.43600000000000005
6509,628006307899461981,2022-05-16,within an hour,100%,100%,t,The Liberties,4,4,"['email', 'phone']",t,t,"Dublin 8, County Dublin, Ireland",Dublin City,53.34,-6.274135,Entire condo,Entire home/apt,3,1.5 baths,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Mini fridge"", ""Heating"", ""Dishes and silverware"", ""Dedicated workspace"", ""Cleaning products"", ""Shower gel"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Wine glasses""]",$226.00,3,365,1,3,365,365,3.0,365.0,t,4,4,4,4,2022-09-12,18,18,5,2022-05-31,2022-09-07,4.78,4.72,4.94,4.94,4.94,4.89,4.61,t,4,4,0,0,0.42641597898629147
